"filename", "language", "JSON", "XML", "Markdown", "Batch", "TypeScript", "HTML", "SCSS", "JSON with Comments", "C#", "comment", "blank", "total"
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\backend\TaviLi.Api\Controllers\AuthController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 37, 6, 3, 46
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\backend\TaviLi.Api\Controllers\MissionsController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 130, 13, 9, 152
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\backend\TaviLi.Api\Controllers\TestDataController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 34, 1, 5, 40
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\backend\TaviLi.Api\Controllers\UsersController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 8, 94
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\backend\TaviLi.Api\Program.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 81, 15, 19, 115
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\backend\TaviLi.Api\Properties\launchSettings.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\backend\TaviLi.Api\TaviLi.Api.csproj", "XML", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\backend\TaviLi.Api\appsettings.Development.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\backend\TaviLi.Api\appsettings.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\backend\TaviLi.Application\Class1.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
